#ID,Name,主动,最大Lv,Lv,JobLv,MP,SP,吟唱时间,延迟,射程,目标,目标2,范围,技能释放射程,所需装备,技能Flag
100,提升最大HP上限,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
100,提升最大HP上限,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
100,提升最大HP上限,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
100,提升最大HP上限,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
100,提升最大HP上限,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
101,提升最大MP上限,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
101,提升最大MP上限,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
101,提升最大MP上限,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
101,提升最大MP上限,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
101,提升最大MP上限,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
102,提升最大SP上限,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
102,提升最大SP上限,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
102,提升最大SP上限,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
102,提升最大SP上限,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
102,提升最大SP上限,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
103,提升HP回復率,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
103,提升HP回復率,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
103,提升HP回復率,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
103,提升HP回復率,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
103,提升HP回復率,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
104,提升MP回復率,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
104,提升MP回復率,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
104,提升MP回復率,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
104,提升MP回復率,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
104,提升MP回復率,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
105,提升SP回復率,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
105,提升SP回復率,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
105,提升SP回復率,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
105,提升SP回復率,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
105,提升SP回復率,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
106,提升防禦力,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
106,提升防禦力,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
106,提升防禦力,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
106,提升防禦力,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
106,提升防禦力,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
107,刀劍修練,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00001002,0x00000000
107,刀劍修練,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00001002,0x00000000
107,刀劍修練,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00001002,0x00000000
107,刀劍修練,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00001002,0x00000000
107,刀劍修練,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00001002,0x00000000
108,戰斧修練,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000010,0x00000000
108,戰斧修練,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000010,0x00000000
108,戰斧修練,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000010,0x00000000
