#NPCID,NAME,MAPID,座標Ｘ,座標Ｙ,方向,scale,EVENTID,NOTOUCH,ＰＩＣＴＩＤ,初期モーション,透明度(0~255)この値を 0 以外にすると重くなるので注意してください,デフォルト表示,円形影の描画,FLAG,NPC表示設定,
#10000000,,0,
#10000001,,0,
#10000002,,0,
10000003,上城東門守衛,10023100,222,126,6,1.1,10000003,0,10000003,111,0,1,0,0,0,
10000013,上城西門守衛,10023200,33,129,2,1.1,10000013,0,10000013,111,0,1,0,0,0,
10000023,上城南門守衛,10023300,129,223,0,1.1,10000023,0,10000023,111,0,1,0,0,0,
10000033,上城北門守衛,10023400,126,33,4,1.1,10000033,0,10000033,111,0,1,0,0,0,
11000000,行會宮殿嚮導,30110000,10,16,7,1,11000000,0,11000000,111,0,1,0,0,0,
11000001,下城的優秀阿姨,10024000,131,151,2,1,11000001,0,11000001,111,0,1,0,0,0,
11000002,咖啡館老闆,30010000,1,0,7,1,11000002,0,11000002,111,0,1,0,0,0,
11000003,古董商店店員,30014000,5,1,1,1,11000003,0,11000003,111,0,1,0,0,0,
11000004,武器商店店員,30012000,2,1,0,1,11000004,0,11000004,111,0,1,0,0,0,
#11000005,占い屋店員,30001000,2,1,0,1.05,11000005,0,11000005,111,0,1,0,0,0,
11000006,東方的露天商店店員,10024000,138,128,6,1,11000006,0,11000006,111,0,1,0,0,0,
11000007,西方的露天商店店員,10024000,117,127,2,1,11000007,0,11000007,111,0,1,0,0,0,
11000008,南方的露天商店店員,10024000,127,138,0,1,11000008,0,11000008,111,0,1,0,0,0,
11000009,北方的露天商店店員,10024000,128,117,4,1,11000009,0,11000009,111,0,1,0,0,0,
11000010,解答大叔,30002000,2,1,7,1.2,11000010,0,11000010,111,0,1,0,0,0,
11000011,行會宮殿嚮導,30111000,10,16,7,1,11000011,0,11000011,111,0,1,0,0,0,
11000012,行會宮殿嚮導,30112000,10,16,7,1,11000012,0,11000012,111,0,1,0,0,0,
11000013,行會宮殿嚮導,30113000,10,16,7,1,11000013,0,11000013,111,0,1,0,0,0,
11000014,行會宮殿嚮導,30114000,10,16,7,1,11000014,0,11000014,111,0,1,0,0,0,
11000015,劍士總管,30040000,3,3,0,1.1,11000015,0,11000015,111,0,1,0,0,0,
11000016,騎士總管,30041000,3,3,0,1,11000016,0,11000016,111,0,1,0,0,0,
11000017,盜賊總管,30042000,3,3,0,1,11000017,0,11000017,111,0,1,0,0,0,
11000018,弓手總管,30043000,3,3,0,1,11000018,0,11000018,111,0,1,0,0,0,
11000019,魔法系總管,30044000,3,2,0,1.1,11000019,0,11000019,111,0,1,0,0,0,
11000020,礦工總管,30045000,3,3,0,1,11000020,0,11000020,111,0,1,0,0,0,
11000021,機械師總管,30046000,3,3,0,1.15,11000021,0,11000021,111,0,1,0,0,0,
11000022,農夫總管,30047000,3,3,0,1,11000022,0,11000022,111,0,1,0,0,0,
11000023,鍊金術師總管,30048000,3,3,0,1,11000023,0,11000023,111,0,1,0,0,0,
11000024,木偶使總管,30049000,3,3,0,1.05,11000024,0,11000024,111,0,1,0,0,0,
11000025,冒險家總管,30050000,3,3,0,1,11000025,0,11000025,111,0,1,0,0,0,
11000026,商人總管,30051000,3,3,0,1.05,11000026,0,11000026,111,0,1,0,0,0,
11000027,塔妮亞利益代表,30052000,3,4,0,1,11000027,0,11000027,111,0,1,0,0,0,
11000028,道米尼利益代表,30053000,3,4,0,1,11000028,0,11000028,111,0,1,0,0,0,
11000029,瑪歐斯,30054000,3,3,0,1,11000029,0,11000029,111,0,1,0,0,0,
11000030,彼特烏  ,30054000,1,4,6,1,11000030,0,11000030,111,0,1,0,0,0,
11000031,卡瑪,30054000,5,4,2,1,11000031,0,11000031,111,0,1,0,0,0,
11000032,小丘比,30055000,3,3,0,1,11000032,0,11000032,111,0,1,0,0,0,
11000033,長官室警備,30100000,2,13,6,1.1,11000033,0,11000033,111,0,1,0,0,0,
11000034,長官室警備,30101000,2,13,6,1.1,11000034,0,11000034,111,0,1,0,0,0,
11000035,長官室警備,30102000,2,13,6,1.1,11000035,0,11000035,111,0,1,0,0,0,
11000036,長官室警備,30103000,2,13,6,1.1,11000036,0,11000036,111,0,1,0,0,0,
11000037,東軍騎士團長官,30100000,5,5,0,1.1,11000037,0,11000037,111,0,1,0,0,0,
11000038,西軍騎士團長官,30101000,5,5,0,1.1,11000038,0,11000038,111,0,1,0,0,0,
11000039,南軍騎士團長官,30102000,5,5,0,1.1,11000039,0,11000039,111,0,1,0,0,0,
11000040,北軍騎士團長官,30103000,5,5,0,1.1,11000040,0,11000040,111,0,1,0,0,0,
11000041,白之聖堂祭司,30120000,8,7,7,1,11000041,0,11000041,111,0,1,0,0,0,
11000042,黑之聖堂祭司,30121000,8,7,7,1,11000042,0,11000042,111,0,1,0,0,0,
11000043,寶石商人,30021000,3,1,0,1,11000043,0,11000043,111,0,1,0,0,0,
11000044,賢者首領,30022000,3,1,0,1.1,11000044,0,11000044,111,0,1,0,0,0,
#11000045,,,,,,,,,,111,0,1,0,
#11000046,,,,,,,,,,111,0,1,0,
#11000047,,,,,,,,,,111,0,1,0,
11000048,行會商人,10035000,49,177,0,1.05,11000048,0,11000050,111,0,1,0,0,0,
